"TIME_PERIOD","CIVIC_CENTRE","PLACE_OF_DEATH","DEATH_LICENSES"
"2011-01","ET","Outside City Limits",69
"2011-01","ET","Toronto",341
"2011-01","NY","Outside City Limits",141
"2011-01","NY","Toronto",540
"2011-01","SC","Outside City Limits",129
"2011-01","SC","Toronto",545
"2011-01","TO","Toronto",297
"2011-02","ET","Outside City Limits",83
"2011-02","ET","Toronto",224
"2011-02","NY","Outside City Limits",81
"2011-02","NY","Toronto",307
"2011-02","SC","Outside City Limits",68
"2011-02","SC","Toronto",339
"2011-02","TO","Toronto",223
"2011-03","ET","Outside City Limits",116
"2011-03","ET","Toronto",233
"2011-03","NY","Outside City Limits",118
"2011-03","NY","Toronto",537
"2011-03","SC","Outside City Limits",117
"2011-03","SC","Toronto",283
"2011-03","TO","Toronto",185
"2011-04","ET","Outside City Limits",83
"2011-04","ET","Toronto",290
"2011-04","NY","Outside City Limits",87
"2011-04","NY","Toronto",553
"2011-04","SC","Outside City Limits",85
"2011-04","SC","Toronto",372
"2011-04","TO","Toronto",42
"2011-05","ET","Outside City Limits",57
"2011-05","ET","Toronto",176
"2011-05","NY","Outside City Limits",92
"2011-05","NY","Toronto",480
"2011-05","SC","Outside City Limits",51
"2011-05","SC","Toronto",253
"2011-06","ET","Outside City Limits",30
"2011-06","ET","Toronto",239
"2011-06","NY","Outside City Limits",107
"2011-06","NY","Toronto",479
"2011-06","SC","Outside City Limits",84
"2011-06","SC","Toronto",518
"2011-07","ET","Outside City Limits",40
"2011-07","ET","Toronto",317
"2011-07","NY","Outside City Limits",50
"2011-07","NY","Toronto",315
"2011-07","SC","Outside City Limits",43
"2011-07","SC","Toronto",312
"2011-07","TO","Outside City Limits",13
"2011-07","TO","Toronto",51
"2011-08","ET","Outside City Limits",169
"2011-08","ET","Toronto",165
"2011-08","NY","Outside City Limits",117
"2011-08","NY","Toronto",389
"2011-08","SC","Outside City Limits",93
"2011-08","SC","Toronto",320
"2011-08","TO","Outside City Limits",4
"2011-08","TO","Toronto",273
"2011-09","ET","Outside City Limits",74
"2011-09","ET","Toronto",176
"2011-09","NY","Outside City Limits",133
"2011-09","NY","Toronto",610
"2011-09","SC","Outside City Limits",58
"2011-09","SC","Toronto",394
"2011-10","ET","Outside City Limits",85
